topic_num,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.7833999991416931,"de, ressemblait, eu, nou, poser, c’est, vraie, une, le, seul","['c’est', 'le', 'seul', 'nou', 'avon', 'eu', 'c’était', 'facil', 'de', 'poser', 'de', 'question', 'cela', 'ressemblait', 'à', 'une', 'vraie', 'class']"
1,1.0,0.8199999928474426,"understand, easier, materi, make, real, note, hear, topic, concept, feedback","['hear', 'people’', 'view', 'opinion']"
2,2.0,0.10010000318288803,"shi, „normal”, connexion, judgement, subtitel, discussionsdeb, mention, queri, insight, revision😉","['n', 'explor']"
3,3.0,0.7749999761581421,"record, engag, normal, email, similar, prefer, dont, point, stop, account","['similar', 'normal', 'routin']"
4,4.0,0.8500000238418579,"lectur, back, watch, internet, forget, classroom, thing, easi, miss, connect","['watch', 'back', 'watch', 'part', 'miss']"
5,5.0,0.7749999761581421,"feel, closest, explain, face, actual, read, complet, gener, mode, comfort","['face', 'face', 'feel']"
6,6.0,0.8199999928474426,"time, studi, conveni, slow, lot, peopl, day, set, subject, attend","['set', 'time', 'plan', 'day']"
7,7.0,0.871399998664856,"interact, class, question, teacher, discuss, student, help, lesson, onlin, professor","['interact', 'teacher', 'question', 'discuss', 'answer', 'student']"
8,8.0,0.7785999774932861,"live, content, inform, upload, video, teach, find, abil, chat, activ","['wider', 'rang', 'content', 'digest']"
9,9.0,0.8199999928474426,"work, learn, pace, zoom, paus, motiv, interrupt, schedul, school, flexibl","['learn', 'pace', 'flexibl', 'schedul']"
